        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -1.8846334e-11
           0.00077897048                   1.8292676e-10
             0.001557941                   2.2268454e-09
            0.0023369114                   8.5817042e-09
            0.0031158819                   2.0103574e-08
            0.0038948525                   3.4855574e-08
            0.0046738228                   4.8718491e-08
            0.0054527936                    5.729169e-08
            0.0062317639                   5.7930684e-08
            0.0070107342                    5.071599e-08
            0.0077897049                   3.8046515e-08
            0.0085686753                   2.3629212e-08
            0.0093476456                   1.1349813e-08
             0.010126616                   4.2577097e-09
             0.010905587                   3.9226409e-09
             0.011684557                   1.0193135e-08
             0.012463528                   2.1249251e-08
             0.013242498                   3.3952549e-08
             0.014021468                   4.4622297e-08
             0.014800439                   5.0026184e-08
              0.01557941                   4.8295853e-08
             0.016358379                   3.9527116e-08
             0.017137351                   2.5811524e-08
             0.017916322                   1.0650041e-08
             0.018695291                  -2.0604407e-09
             0.019474262                  -9.1111545e-09
             0.020253232                  -8.8569498e-09
             0.021032203                  -1.6316439e-09
             0.021811174                   1.0405872e-08
             0.022590144                   2.3873522e-08
             0.023369115                   3.5026943e-08
             0.024148084                    4.066872e-08
             0.024927055                   3.8906748e-08
             0.025706025                   2.9601768e-08
             0.026484996                   1.4448535e-08
             0.027263967                  -3.3468859e-09
             0.028042937                  -1.9806846e-08
             0.028821908                  -3.1196308e-08
             0.029600877                  -3.5049066e-08
             0.030379849                  -3.0892739e-08
              0.03115882                  -2.0417161e-08
             0.031937789                  -7.0162232e-09
             0.032716759                   5.1209965e-09
             0.033495732                    1.207431e-08
             0.034274701                   1.1155173e-08
              0.03505367                   1.5461876e-09
             0.035832644                  -1.5515653e-08
             0.036611613                  -3.7038742e-08
             0.037390582                  -5.9012159e-08
             0.038169552                  -7.7425213e-08
             0.038948525                  -8.9302205e-08
             0.039727494                  -9.3458759e-08
             0.040506463                  -9.0806623e-08
             0.041285437                  -8.4136921e-08
             0.042064406                  -7.7422136e-08
             0.042843375                  -7.4828655e-08
             0.043622348                  -7.9699873e-08
             0.044401318                  -9.3754167e-08
             0.045180287                  -1.1669394e-07
             0.045959257                  -1.4633103e-07
              0.04673823                  -1.7916781e-07
             0.047517199                  -2.1125575e-07
             0.048296168                  -2.3914384e-07
             0.049075142                  -2.6070825e-07
             0.049854111                  -2.7565864e-07
              0.05063308                  -2.8559111e-07
              0.05141205                  -2.9356445e-07
             0.052191023                  -3.0328863e-07
             0.052969992                  -3.1814298e-07
             0.053748962                  -3.4031851e-07
             0.054527935                  -3.7030071e-07
             0.055306904                  -4.0679777e-07
             0.056085873                  -4.4711834e-07
             0.056864846                    -4.87889e-07
             0.057643816                  -5.2591707e-07
             0.058422785                  -5.5899801e-07
             0.059201755                   -5.864926e-07
             0.059980728                  -6.0951726e-07
             0.060759697                  -6.3068779e-07
             0.061538666                  -6.5348905e-07
              0.06231764                  -6.8142145e-07
             0.063096605                  -7.1714072e-07
             0.063875578                  -7.6181897e-07
             0.064654551                  -8.1488849e-07
             0.065433517                  -8.7420426e-07
              0.06621249                  -9.3657371e-07
             0.066991463                   -9.985165e-07
             0.067770429                  -1.0570499e-06
             0.068549402                  -1.1103216e-06
             0.069328375                  -1.1579684e-06
             0.070107341                  -1.2011291e-06
             0.070886314                  -1.2421046e-06
             0.071665287                   -1.283759e-06
             0.072444253                  -1.3287985e-06
             0.073223226                  -1.3790979e-06
             0.074002199                  -1.4352626e-06
             0.074781165                  -1.4965409e-06
             0.075560138                  -1.5610774e-06
             0.076339103                  -1.6264296e-06
             0.077118076                  -1.6902027e-06
             0.077897049                  -1.7506169e-06
             0.078676015                  -1.8068603e-06
             0.079454988                   -1.859168e-06
             0.080233961                  -1.9086267e-06
             0.081012927                   -1.956761e-06
               0.0817919                  -2.0050236e-06
             0.082570873                  -2.0543218e-06
             0.083349839                   -2.104694e-06
             0.084128812                  -2.1552135e-06
             0.084907785                  -2.2041686e-06
             0.085686751                  -2.2494603e-06
             0.086465724                  -2.2890883e-06
             0.087244697                  -2.3215998e-06
             0.088023663                  -2.3463654e-06
             0.088802636                  -2.3636187e-06
             0.089581601                  -2.3742587e-06
             0.090360574                  -2.3794892e-06
             0.091139548                  -2.3803793e-06
