        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -3.0489458e-11
           0.00058568805                   3.0489458e-11
            0.0011713761                   8.3767282e-10
             0.001757064                    3.445789e-09
            0.0023427522                   8.8173504e-09
              0.00292844                   1.7170496e-08
             0.003514128                    2.777797e-08
            0.0040998161                   3.9088377e-08
            0.0046855044                   4.9128655e-08
            0.0052711922                   5.6045181e-08
              0.00585688                   5.8599987e-08
            0.0064425683                   5.6443376e-08
            0.0070282561                   5.0091014e-08
            0.0076139444                   4.0715758e-08
            0.0081996322                   2.9896245e-08
            0.0087853204                   1.9339872e-08
            0.0093710087                   1.0611402e-08
            0.0099566961                   4.9223807e-09
             0.010542384                   2.9936194e-09
             0.011128073                   4.9959343e-09
              0.01171376                    1.054635e-08
             0.012299448                   1.8738703e-08
             0.012885137                   2.8243983e-08
             0.013470825                   3.7500012e-08
             0.014056512                    4.494926e-08
               0.0146422                   4.9280128e-08
             0.015227889                   4.9643969e-08
             0.015813576                   4.5813376e-08
             0.016399264                   3.8236188e-08
             0.016984953                   2.7972428e-08
             0.017570641                   1.6519483e-08
             0.018156329                   5.5611054e-09
             0.018742017                  -3.3006362e-09
             0.019327704                  -8.7974881e-09
             0.019913392                  -1.0193409e-08
              0.02049908                  -7.3910842e-09
             0.021084769                  -9.2857055e-10
             0.021670457                   8.1172509e-09
             0.022256145                   1.8296632e-08
             0.022841834                   2.7998448e-08
              0.02342752                    3.567407e-08
             0.024013208                   4.0049709e-08
             0.024598897                   4.0296971e-08
             0.025184585                   3.6141827e-08
             0.025770273                   2.7910627e-08
             0.026355961                   1.6506945e-08
              0.02694165                   3.3090179e-09
             0.027527336                  -1.0012394e-08
             0.028113024                   -2.173114e-08
             0.028698713                  -3.0328028e-08
             0.029284401                   -3.473523e-08
             0.029870089                  -3.4516553e-08
             0.030455777                   -2.994819e-08
             0.031041466                  -2.1978428e-08
             0.031627152                  -1.2076782e-08
             0.032212842                  -2.0088655e-09
             0.032798529                   6.4209558e-09
             0.033384219                   1.1626561e-08
             0.033969905                   1.2460615e-08
             0.034555592                   8.3685521e-09
             0.035141282                  -5.3882454e-10
             0.035726968                  -1.3501323e-08
             0.036312658                   -2.921287e-08
             0.036898345                  -4.6004345e-08
             0.037484035                  -6.2085128e-08
             0.038069721                  -7.5808146e-08
             0.038655408                  -8.5910955e-08
             0.039241098                  -9.1696926e-08
             0.039826784                  -9.3137956e-08
             0.040412474                  -9.0881699e-08
             0.040998161                  -8.6160561e-08
             0.041583851                  -8.0614598e-08
             0.042169537                  -7.6058114e-08
             0.042755224                  -7.4225071e-08
             0.043340914                   -7.652919e-08
               0.0439266                  -8.3869764e-08
             0.044512291                  -9.6510945e-08
             0.045097977                  -1.1405732e-07
             0.045683667                  -1.3552477e-07
             0.046269353                  -1.5948774e-07
              0.04685504                  -1.8427944e-07
              0.04744073                  -2.0822102e-07
             0.048026416                  -2.2985211e-07
             0.048612107                  -2.4813124e-07
             0.049197793                  -2.6257891e-07
             0.049783483                  -2.7334016e-07
              0.05036917                  -2.8116091e-07
             0.050954856                  -2.8727558e-07
             0.051540546                  -2.9321851e-07
             0.052126233                  -3.0058911e-07
             0.052711923                  -3.1081296e-07
             0.053297609                  -3.2493745e-07
             0.053883299                  -3.4348858e-07
             0.054468986                  -3.6640668e-07
             0.055054672                  -3.9306781e-07
             0.055640362                   -4.223869e-07
             0.056226049                  -4.5298495e-07
             0.056811739                  -4.8339149e-07
             0.057397425                  -5.1225607e-07
             0.057983115                  -5.3854399e-07
             0.058568802                  -5.6169142e-07
             0.059154488                  -5.8169246e-07
             0.059740178                   -5.991065e-07
             0.060325865                  -6.1498446e-07
             0.060911555                  -6.3072451e-07
             0.061497241                  -6.4787736e-07
             0.062082931                  -6.6792762e-07
             0.062668622                    -6.92085e-07
             0.063254304                  -7.2111834e-07
             0.063839994                  -7.5525583e-07
             0.064425685                  -7.9416031e-07
             0.065011367                  -8.3698058e-07
             0.065597057                  -8.8247469e-07
             0.066182747                  -9.2918134e-07
             0.066768438                  -9.7561406e-07
              0.06735412                  -1.0204498e-06
              0.06793981                    -1.06269e-06
             0.068525501                  -1.1017773e-06
             0.069111183                  -1.1376524e-06
             0.069696873                  -1.1707423e-06
             0.070282564                  -1.2018857e-06
             0.070868254                  -1.2322066e-06
             0.071453936                  -1.2629509e-06
             0.072039627                  -1.2953051e-06
             0.072625317                  -1.3302267e-06
             0.073210999                  -1.3683134e-06
              0.07379669                  -1.4097296e-06
              0.07438238                  -1.4541992e-06
              0.07496807                  -1.5010605e-06
             0.075553752                  -1.5493758e-06
             0.076139443                  -1.5980773e-06
             0.076725133                   -1.646125e-06
             0.077310815                  -1.6926479e-06
             0.077896506                   -1.737048e-06
             0.078482196                  -1.7790605e-06
             0.079067886                  -1.8187613e-06
             0.079653569                  -1.8565225e-06
             0.080239259                  -1.8929235e-06
             0.080824949                  -1.9286344e-06
             0.081410632                  -1.9642941e-06
             0.081996322                  -2.0003895e-06
             0.082582012                  -2.0371613e-06
             0.083167702                  -2.0745451e-06
             0.083753385                  -2.1121625e-06
             0.084339075                  -2.1493636e-06
             0.084924765                  -2.1853116e-06
             0.085510448                  -2.2190929e-06
             0.086096138                  -2.2498409e-06
             0.086681828                  -2.2768484e-06
             0.087267518                  -2.2996499e-06
             0.087853201                  -2.3180628e-06
             0.088438891                   -2.332182e-06
             0.089024581                  -2.3423329e-06
             0.089610264                  -2.3489936e-06
             0.090195954                  -2.3526927e-06
             0.090781644                  -2.3538998e-06
             0.091367334                  -2.3529251e-06
             0.091953017                  -2.3498408e-06
             0.092538707                  -2.3444341e-06
             0.093124397                  -2.3361979e-06
              0.09371008                  -2.3243588e-06
              0.09429577                  -2.3079444e-06
              0.09488146                  -2.2858803e-06
              0.09546715                  -2.2570971e-06
             0.096052833                  -2.2206373e-06
