        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -3.0051687e-11
           0.00058357406                   3.0051687e-11
            0.0011671481                   8.2618101e-10
            0.0017507222                   3.4013623e-09
            0.0023342962                   8.7126946e-09
            0.0029178702                     1.69881e-08
            0.0035014444                    2.752421e-08
            0.0040850183                   3.8799904e-08
            0.0046685925                   4.8867165e-08
            0.0052521662                   5.5881358e-08
            0.0058357404                   5.8592594e-08
            0.0064193145                   5.6622547e-08
            0.0070028887                   5.0451348e-08
            0.0075864624                    4.121668e-08
            0.0081700366                   3.0467593e-08
            0.0087536108                   1.9893623e-08
             0.009337185                   1.1056278e-08
            0.0099207591                   5.1784625e-09
             0.010504332                   3.0051615e-09
             0.011087907                   4.7407518e-09
             0.011671481                   1.0043017e-08
             0.012255055                   1.8050338e-08
             0.012838629                   2.7473844e-08
             0.013422203                   3.6777962e-08
             0.014005777                   4.4412264e-08
             0.014589351                   4.9049302e-08
             0.015172925                   4.9800857e-08
             0.015756499                   4.6380492e-08
             0.016340073                   3.9167432e-08
             0.016923647                   2.9155469e-08
             0.017507222                   1.7791777e-08
             0.018090796                   6.7350272e-09
              0.01867437                  -2.4079303e-09
             0.019257944                  -8.3330498e-09
             0.019841518                  -1.0242071e-08
             0.020425091                  -7.9594784e-09
             0.021008665                  -1.9420985e-09
             0.021592239                   6.8057253e-09
             0.022175813                   1.6887416e-08
             0.022759387                   2.6717784e-08
             0.023342961                   3.4742968e-08
             0.023926536                   3.9651901e-08
              0.02451011                   4.0551825e-08
             0.025093684                   3.7084288e-08
             0.025677258                   2.9479953e-08
             0.026260832                   1.8546821e-08
             0.026844407                   5.5826099e-09
             0.027427981                   -7.792714e-09
             0.028011555                  -1.9862821e-08
             0.028595127                  -2.9071018e-08
             0.029178701                  -3.4266822e-08
             0.029762276                  -3.4896942e-08
              0.03034585                  -3.1104381e-08
             0.030929424                  -2.3711102e-08
             0.031512998                   -1.408795e-08
             0.032096572                  -3.9441286e-09
             0.032680146                   4.9222657e-09
             0.033263721                    1.087918e-08
             0.033847295                   1.2687517e-08
             0.034430869                   9.6672323e-09
             0.035014443                   1.7862818e-09
             0.035598017                  -1.0336527e-08
             0.036181591                  -2.5514918e-08
             0.036765166                  -4.2158895e-08
              0.03734874                  -5.8501467e-08
             0.037932314                  -7.2857596e-08
             0.038515888                  -8.3870518e-08
             0.039099462                  -9.0705399e-08
             0.039683037                  -9.3170136e-08
             0.040266611                  -9.1746116e-08
             0.040850181                  -8.7521926e-08
             0.041433755                  -8.2038433e-08
             0.042017329                  -7.7070105e-08
             0.042600904                  -7.4377013e-08
             0.043184478                  -7.5462118e-08
             0.043768052                  -8.1366224e-08
             0.044351626                  -9.2527344e-08
               0.0449352                  -1.0873005e-07
             0.045518775                  -1.2915078e-07
             0.046102349                  -1.5248395e-07
             0.046685923                  -1.7712641e-07
             0.047269497                   -2.013968e-07
             0.047853071                  -2.2376487e-07
             0.048436645                  -2.4305987e-07
              0.04902022                  -2.5863042e-07
             0.049603794                  -2.7043126e-07
             0.050187368                  -2.7902558e-07
             0.050770942                  -2.8550139e-07
             0.051354516                  -2.9130692e-07
              0.05193809                  -2.9803036e-07
             0.052521665                  -3.0716157e-07
             0.053105239                  -3.1987722e-07
             0.053688813                  -3.3687829e-07
             0.054272387                   -3.583001e-07
             0.054855961                  -3.8370533e-07
             0.055439536                  -4.1215935e-07
              0.05602311                  -4.4237626e-07
             0.056606684                  -4.7290897e-07
             0.057190254                  -5.0235656e-07
             0.057773829                  -5.2956477e-07
             0.058357403                  -5.5379547e-07
             0.058940977                  -5.7483862e-07
             0.059524551                  -5.9304824e-07
             0.060108125                  -6.0929818e-07
             0.060691699                  -6.2486419e-07
             0.061275274                   -6.412485e-07
             0.061858848                  -6.5997028e-07
             0.062442422                  -6.8235266e-07
             0.063025996                  -7.0934038e-07
              0.06360957                  -7.4137466e-07
             0.064193144                  -7.7834005e-07
             0.064776719                  -8.1958552e-07
             0.065360293                  -8.6401883e-07
             0.065943867                  -9.1025925e-07
             0.066527441                  -9.5682253e-07
             0.067111015                  -1.0023119e-06
             0.067694589                  -1.0455894e-06
             0.068278164                  -1.0859104e-06
             0.068861738                  -1.1230049e-06
             0.069445312                  -1.1570966e-06
             0.070028886                  -1.1888529e-06
              0.07061246                  -1.2192822e-06
             0.071196035                  -1.2495859e-06
             0.071779609                  -1.2809859e-06
             0.072363183                  -1.3145495e-06
             0.072946757                  -1.3510403e-06
             0.073530331                  -1.3908192e-06
             0.074113905                  -1.4338079e-06
              0.07469748                  -1.4795171e-06
             0.075281054                  -1.5271295e-06
