        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -2.9708503e-11
           0.00058395258                   2.9708503e-11
            0.0011679052                   8.1609208e-10
            0.0017518578                   3.3568428e-09
            0.0023358103                   8.5911491e-09
            0.0029197629                   1.6737024e-08
            0.0035037156                   2.7096952e-08
            0.0040876679                   3.8179209e-08
            0.0046716207                   4.8091717e-08
            0.0052555734                   5.5052659e-08
            0.0058395257                   5.7838651e-08
            0.0064234785                   5.6039706e-08
            0.0070074312                   5.0085116e-08
            0.0075913835                   4.1088072e-08
            0.0081753358                   3.0577443e-08
             0.008759289                   2.0199757e-08
            0.0093432413                   1.1475394e-08
            0.0099271936                   5.6101692e-09
             0.010511147                   3.3498957e-09
             0.011095099                   4.9099258e-09
             0.011679051                   9.9705773e-09
             0.012263005                   1.7708562e-08
             0.012846957                    2.688204e-08
             0.013430909                   3.5995292e-08
             0.014014862                   4.3519417e-08
             0.014598815                   4.8134101e-08
             0.015182767                   4.8949129e-08
             0.015766719                   4.5666255e-08
             0.016350672                   3.8646697e-08
             0.016934626                   2.8857205e-08
             0.017518578                   1.7707524e-08
              0.01810253                   6.8214958e-09
             0.018686483                  -2.2200317e-09
             0.019270435                  -8.1302263e-09
             0.019854387                  -1.0113244e-08
             0.020438341                  -7.9747053e-09
             0.021022294                  -2.1407582e-09
             0.021606246                   6.4159127e-09
             0.022190198                   1.6329343e-08
             0.022774151                   2.6042278e-08
             0.023358103                   3.4022122e-08
             0.023942057                   3.8966775e-08
             0.024526009                   3.9976246e-08
             0.025109962                   3.6674578e-08
             0.025693914                   2.9269032e-08
             0.026277866                   1.8539335e-08
             0.026861819                   5.7536762e-09
             0.027445773                   -7.491634e-09
             0.028029725                  -1.9498442e-08
             0.028613677                  -2.8723003e-08
              0.02919763                  -3.4018374e-08
             0.029781582                  -3.4823486e-08
             0.030365534                   -3.125912e-08
             0.030949486                  -2.4110317e-08
             0.031533439                  -1.4704833e-08
             0.032117393                  -4.7146007e-09
             0.032701343                   4.0874348e-09
             0.033285297                   1.0079593e-08
             0.033869252                   1.2017622e-08
             0.034453202                   9.2041024e-09
             0.035037156                   1.5804367e-09
             0.035621107                  -1.0265994e-08
             0.036205061                  -2.5182974e-08
             0.036789015                   -4.161685e-08
             0.037372965                  -5.7834836e-08
              0.03795692                   -7.217151e-08
              0.03854087                  -8.3267679e-08
             0.039124824                  -9.0267449e-08
             0.039708775                  -9.2944397e-08
             0.040292729                  -9.1739196e-08
             0.040876683                  -8.7701409e-08
