        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -1.5426011e-11
            0.0007435396                   1.5011875e-10
            0.0014870792                   1.8477755e-09
            0.0022306188                   7.2311579e-09
            0.0029741584                   1.7287462e-08
            0.0037176979                   3.0759953e-08
            0.0044612377                   4.4425555e-08
            0.0052047772                   5.4446691e-08
            0.0059483168                   5.7972549e-08
            0.0066918563                   5.4165199e-08
            0.0074353958                   4.4309648e-08
            0.0081789354                   3.1199509e-08
            0.0089224754                   1.8190939e-08
            0.0096660145                   8.3431004e-09
             0.010409554                   3.8008143e-09
             0.011153094                   5.4009814e-09
             0.011896634                   1.2574043e-08
             0.012640173                   2.3456579e-08
             0.013383713                    3.522992e-08
             0.014127253                   4.4753904e-08
             0.014870792                   4.9349634e-08
             0.015614332                   4.7520274e-08
             0.016357871                   3.9396781e-08
             0.017101411                   2.6744711e-08
             0.017844951                   1.2497098e-08
             0.018588489                  -1.2022827e-11
             0.019332029                  -7.8939717e-09
             0.020075569                   -9.427942e-09
             0.020819109                  -4.4573625e-09
             0.021562649                   5.6084843e-09
             0.022306187                   1.8160529e-08
             0.023049727                   3.0019258e-08
             0.023793267                   3.8149871e-08
             0.024536807                   4.0314902e-08
             0.025280345                   3.5555164e-08
             0.026023885                   2.4420025e-08
             0.026767425                    8.902596e-09
             0.027510965                  -7.9380369e-09
             0.028254505                   -2.264516e-08
             0.028998043                  -3.2196919e-08
             0.029741583                  -3.4773876e-08
             0.030485123                  -3.0245019e-08
             0.031228663                  -2.0218351e-08
             0.031972203                  -7.6438322e-09
             0.032715742                   3.8909436e-09
              0.03345928                   1.0989374e-08
             0.034202822                    1.121103e-08
              0.03494636                   3.6068226e-09
             0.035689902                  -1.1081555e-08
              0.03643344                  -3.0590538e-08
             0.037176978                  -5.1646538e-08
              0.03792052                  -7.0718443e-08
             0.038664058                  -8.4829523e-08
               0.0394076                  -9.2247156e-08
             0.040151138                   -9.289537e-08
             0.040894676                  -8.8387445e-08
             0.041638218                  -8.1666798e-08
             0.042381756                  -7.6332363e-08
             0.043125298                  -7.5819656e-08
             0.043868836                  -8.2641364e-08
             0.044612374                  -9.7853771e-08
             0.045355916                  -1.2085603e-07
             0.046099454                   -1.495563e-07
             0.046842992                  -1.8085717e-07
             0.047586534                  -2.1134495e-07
             0.048330072                  -2.3804377e-07
             0.049073614                  -2.5907244e-07
             0.049817152                  -2.7405278e-07
              0.05056069                  -2.8417841e-07
             0.051304232                  -2.9191847e-07
              0.05204777                  -3.0041954e-07
             0.052791312                    -3.12753e-07
              0.05353485                  -3.3119838e-07
             0.054278389                  -3.5673679e-07
              0.05502193                   -3.888627e-07
             0.055765469                  -4.2574152e-07
              0.05650901                  -4.6466135e-07
             0.057252549                  -5.0267431e-07
             0.057996087                  -5.3728309e-07
             0.058739629                  -5.6702402e-07
             0.059483167                  -5.9182219e-07
             0.060226705                  -6.1303149e-07
             0.060970247                  -6.3314673e-07
             0.061713785                  -6.5525353e-07
             0.062457327                  -6.8233845e-07
             0.063200869                  -7.1662066e-07
             0.063944407                  -7.5906695e-07
             0.064687945                  -8.0919597e-07
             0.065431483                  -8.6520413e-07
             0.066175021                  -9.2437386e-07
             0.066918559                  -9.8365967e-07
             0.067662105                  -1.0403144e-06
             0.068405643                  -1.0924291e-06
             0.069149181                  -1.1392849e-06
             0.069892719                  -1.1814483e-06
             0.070636258                  -1.2205967e-06
             0.071379803                  -1.2591103e-06
             0.072123341                  -1.2995204e-06
             0.072866879                  -1.3439335e-06
             0.073610418                  -1.3935655e-06
             0.074353956                  -1.4485005e-06
             0.075097501                  -1.5077221e-06
             0.075841039                  -1.5693985e-06
             0.076584578                  -1.6313342e-06
             0.077328116                  -1.6914749e-06
             0.078071654                  -1.7483376e-06
             0.078815199                  -1.8012696e-06
             0.079558738                  -1.8504966e-06
             0.080302276                  -1.8969613e-06
             0.081045814                  -1.9419983e-06
             0.081789352                  -1.9869271e-06
             0.082532898                  -2.0326618e-06
             0.083276436                  -2.0794234e-06
             0.084019974                  -2.1266239e-06
             0.084763512                   -2.172955e-06
              0.08550705                  -2.2166555e-06
             0.086250596                  -2.2558854e-06
             0.086994134                  -2.2891113e-06
             0.087737672                  -2.3153991e-06
              0.08848121                  -2.3345463e-06
             0.089224748                  -2.3470261e-06
             0.089968294                  -2.3537666e-06
             0.090711832                  -2.3558284e-06
              0.09145537                  -2.3540508e-06
             0.092198908                  -2.3487476e-06
             0.092942446                  -2.3395128e-06
             0.093685985                  -2.3251839e-06
              0.09442953                  -2.3039656e-06
             0.095173068                  -2.2736917e-06
             0.095916606                  -2.2321715e-06
             0.096660145                  -2.1775368e-06
             0.097403683                  -2.1085198e-06
             0.098147228                  -2.0245782e-06
             0.098890767                  -1.9258493e-06
             0.099634305                  -1.8129448e-06
              0.10037784                  -1.6866449e-06
              0.10112138                  -1.5475594e-06
              0.10186493                  -1.3958467e-06
              0.10260846                   -1.231027e-06
                0.103352                  -1.0519389e-06
              0.10409554                  -8.5683615e-07
              0.10483908                  -6.4359278e-07
              0.10558262                  -4.0998046e-07
              0.10632616                  -1.5394528e-07
               0.1070697                   1.2615766e-07
              0.10781324                   4.3143217e-07
              0.10855678                   7.6243754e-07
              0.10930032                   1.1193079e-06
              0.11004386                   1.5019615e-06
               0.1107874                    1.910335e-06
              0.11153094                   2.3445973e-06
              0.11227448                   2.8052955e-06
              0.11301802                   3.2933906e-06
              0.11376156                   3.8102048e-06
               0.1145051                     4.35729e-06
              0.11524864                    4.936267e-06
              0.11599217                   5.5486594e-06
              0.11673571                    6.195768e-06
              0.11747926                   6.8786117e-06
               0.1182228                   7.5979351e-06
              0.11896633                   8.3542755e-06
              0.11970987                   9.1480679e-06
              0.12045341                   9.9797535e-06
              0.12119696                   1.0849847e-05
              0.12194049                   1.1758971e-05
              0.12268403                   1.2707809e-05
              0.12342757                   1.3697041e-05
              0.12417111                   1.4727248e-05
              0.12491465                   1.5798847e-05
              0.12565818                   1.6912065e-05
              0.12640174                   1.8066952e-05
              0.12714528                   1.9263431e-05
              0.12788881                   2.0501377e-05
              0.12863235                   2.1780692e-05
              0.12937589                   2.3101356e-05
              0.13011943                   2.4463421e-05
              0.13086297                   2.5866982e-05
               0.1316065                    2.731208e-05
              0.13235004                   2.8798564e-05
              0.13309358                   3.0325975e-05
              0.13383712                   3.1893436e-05
              0.13458067                   3.3499604e-05
              0.13532421                   3.5142712e-05
              0.13606775                   3.6820653e-05
              0.13681129                   3.8531114e-05
              0.13755482                   4.0271763e-05
              0.13829836                   4.2040381e-05
               0.1390419                   4.3834938e-05
              0.13978544                   4.5653596e-05
              0.14052898                   4.7494621e-05
              0.14127252                   4.9356204e-05
              0.14201607                   5.1236268e-05
              0.14275961                   5.3132269e-05
              0.14350314                   5.5040993e-05
              0.14424668                   5.6958514e-05
              0.14499022                   5.8880221e-05
              0.14573376                   6.0800925e-05
               0.1464773                   6.2715066e-05
              0.14722084                   6.4616965e-05
              0.14796437                   6.6501052e-05
              0.14870791                   6.8361958e-05
              0.14945146                   7.0194583e-05
                0.150195                   7.1993971e-05
              0.15093854                   7.3755175e-05
              0.15168208                   7.5472941e-05
              0.15242562                   7.7141485e-05
              0.15316916                   7.8754339e-05
              0.15391269                   8.0304235e-05
              0.15465623                   8.1783044e-05
              0.15539977                   8.3181949e-05
              0.15614331                   8.4491665e-05
              0.15688685                   8.5702719e-05
               0.1576304                   8.6805638e-05
              0.15837394                   8.7791115e-05
              0.15911748                   8.8650057e-05
              0.15986101                   8.9373571e-05
              0.16060455                    8.995286e-05
              0.16134809                   9.0379035e-05
              0.16209163                   9.0642774e-05
              0.16283517                   9.0734218e-05
               0.1635787                   9.0642934e-05
              0.16432224                   9.0357702e-05
               0.1650658                   8.9866648e-05
              0.16580933                   8.9157424e-05
