        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -1.3741073e-11
            0.0010662735                   8.7496627e-10
            0.0021325471                   9.3023012e-09
            0.0031988209                    2.927457e-08
            0.0042650942                   5.1198185e-08
            0.0053313682                    5.991923e-08
            0.0063976417                   4.9722168e-08
            0.0074639153                   2.8481491e-08
            0.0085301884                    1.005955e-08
            0.0095964624                   4.9128408e-09
             0.010662736                   1.5048219e-08
             0.011729009                   3.3541987e-08
             0.012795283                   4.8101249e-08
             0.013861557                   4.8279887e-08
             0.014927831                   3.2646231e-08
             0.015994104                   1.0219475e-08
             0.017060377                  -5.4391665e-09
             0.018126652                  -5.0104205e-09
             0.019192925                    1.092481e-08
             0.020259198                   3.2354304e-08
             0.021325473                    4.566057e-08
             0.022391746                   4.1654864e-08
             0.023458019                   2.1153664e-08
             0.024524292                  -5.4624119e-09
             0.025590567                  -2.4341317e-08
              0.02665684                  -2.5981153e-08
             0.027723113                  -1.0616449e-08
             0.028789388                   1.1615009e-08
             0.029855661                   2.6191177e-08
             0.030921934                   2.2565443e-08
             0.031988207                   3.3347591e-10
             0.033054482                  -3.0517139e-08
             0.034120753                  -5.5396107e-08
             0.035187028                  -6.3544803e-08
             0.036253303                  -5.4247611e-08
             0.037319575                  -3.7157395e-08
             0.038385849                  -2.6738284e-08
             0.039452124                   -3.402738e-08
             0.040518396                   -6.046487e-08
             0.041584671                  -9.7340049e-08
             0.042650945                  -1.3102901e-07
             0.043717217                  -1.5099036e-07
             0.044783492                  -1.5579052e-07
             0.045849767                  -1.5370613e-07
             0.046916038                  -1.5781316e-07
             0.047982313                  -1.7863732e-07
             0.049048584                  -2.1839732e-07
             0.050114859                  -2.6984901e-07
             0.051181134                  -3.2034089e-07
             0.052247405                  -3.5892876e-07
              0.05331368                  -3.8247526e-07
             0.054379955                  -3.9710577e-07
             0.055446226                  -4.1433458e-07
             0.056512501                  -4.4443021e-07
             0.057578776                  -4.9094029e-07
             0.058645047                  -5.4929131e-07
             0.059711322                   -6.099699e-07
             0.060777597                  -6.6430727e-07
             0.061843868                  -7.0957634e-07
              0.06291014                    -7.50472e-07
             0.063976415                  -7.9611135e-07
             0.065042689                  -8.5441229e-07
             0.066108964                  -9.2731807e-07
             0.067175239                  -1.0096941e-06
             0.068241507                  -1.0923396e-06
             0.069307782                  -1.1671101e-06
             0.070374057                  -1.2311928e-06
             0.071440332                  -1.2883282e-06
             0.072506607                   -1.346483e-06
             0.073572882                  -1.4133103e-06
             0.074639149                  -1.4919344e-06
             0.075705424                  -1.5794296e-06
             0.076771699                  -1.6687475e-06
             0.077837974                  -1.7527303e-06
             0.078904249                  -1.8277075e-06
             0.079970524                  -1.8946963e-06
             0.081036791                   -1.957822e-06
             0.082103066                  -2.0211462e-06
             0.083169341                  -2.0858677e-06
             0.084235616                  -2.1494811e-06
             0.085301891                   -2.207245e-06
             0.086368158                  -2.2548788e-06
             0.087434433                  -2.2906966e-06
             0.088500708                  -2.3158445e-06
             0.089566983                  -2.3325897e-06
             0.090633258                  -2.3418781e-06
             0.091699533                  -2.3417635e-06
             0.092765801                  -2.3276557e-06
             0.093832076                   -2.294151e-06
             0.094898351                  -2.2373547e-06
             0.095964625                  -2.1562419e-06
               0.0970309                  -2.0522202e-06
             0.098097168                  -1.9271881e-06
             0.099163443                  -1.7812586e-06
              0.10022972                  -1.6115264e-06
              0.10129599                  -1.4125238e-06
              0.10236227                  -1.1780375e-06
              0.10342854                  -9.0324392e-07
              0.10449481                  -5.8594793e-07
              0.10556109                  -2.2620596e-07
              0.10662736                   1.7531801e-07
              0.10769363                   6.1926801e-07
              0.10875991                   1.1086266e-06
              0.10982618                   1.6483064e-06
