        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -3.0036907e-11
           0.00058350223                   3.0036907e-11
            0.0011670045                   8.2579232e-10
            0.0017505067                   3.3998577e-09
            0.0023340089                   8.7091454e-09
            0.0029175112                     1.69819e-08
            0.0035010134                   2.7515563e-08
            0.0040845154                   3.8790041e-08
            0.0046680178                   4.8858162e-08
            0.0052515198                   5.5875613e-08
            0.0058350223                   5.8592114e-08
            0.0064185243                    5.662838e-08
            0.0070020268                   5.0463346e-08
            0.0075855288                   4.1233491e-08
            0.0081690308                   3.0486852e-08
            0.0087525332                   1.9912349e-08
            0.0093360357                   1.1071362e-08
            0.0099195372                   5.1871596e-09
              0.01050304                   3.0055278e-09
             0.011086542                    4.731969e-09
             0.011670045                   1.0025643e-08
             0.012253546                   1.8026441e-08
             0.012837049                   2.7446864e-08
             0.013420551                   3.6752283e-08
             0.014004054                   4.4392557e-08
             0.014587555                   4.9039745e-08
             0.015171058                   4.9804331e-08
              0.01575456                   4.6397897e-08
             0.016338062                    3.919736e-08
             0.016921565                   2.9194247e-08
             0.017505066                   1.7833987e-08
             0.018088568                   6.7743411e-09
             0.018672071                  -2.3777438e-09
             0.019255573                  -8.3170812e-09
             0.019839074                  -1.0243373e-08
             0.020422578                  -7.9784881e-09
             0.021006079                  -1.9765003e-09
             0.021589583                    6.760724e-09
             0.022173084                    1.683846e-08
             0.022756586                    2.667246e-08
             0.023340089                   3.4708769e-08
             0.023923591                   3.9635161e-08
             0.024507092                   4.0556777e-08
             0.025090596                   3.7112354e-08
             0.025674097                   2.9529351e-08
             0.026257599                   1.8612546e-08
             0.026841102                    5.656883e-09
             0.027424604                  -7.7194677e-09
             0.028008107                  -1.9800627e-08
             0.028591609                  -2.9028769e-08
              0.02917511                  -3.4250721e-08
             0.029758614                  -3.4909334e-08
             0.030342115                  -3.1143138e-08
             0.030925617                  -2.3769822e-08
              0.03150912                  -1.4156839e-08
             0.032092623                  -4.0113828e-09
             0.032676123                   4.8688245e-09
             0.033259626                   1.0850311e-08
              0.03384313                   1.2691006e-08
              0.03442663                   9.7067332e-09
             0.035010133                   1.8606721e-09
             0.035593636                  -1.0233115e-08
             0.036177136                  -2.5392445e-08
             0.036760639                  -4.2030134e-08
             0.037344143                  -5.8380163e-08
             0.037927642                  -7.2756414e-08
             0.038511146                  -8.3799094e-08
             0.039094649                  -9.0668884e-08
             0.039678149                  -9.3168225e-08
             0.040261652                  -9.1772911e-08
             0.040845156                   -8.756659e-08
             0.041428655                  -8.2086608e-08
             0.042012159                  -7.7105881e-08
             0.042595662                  -7.4385142e-08
             0.043179166                  -7.5430123e-08
             0.043762665                  -8.1286203e-08
             0.044346169                  -9.2397173e-08
             0.044929672                  -1.0855366e-07
             0.045513172                  -1.2893761e-07
             0.046096675                  -1.5224765e-07
             0.046680178                  -1.7688299e-07
             0.047263678                  -2.0116251e-07
             0.047847182                  -2.2355383e-07
             0.048430685                  -2.4288209e-07
             0.049014185                   -2.584903e-07
             0.049597688                  -2.7032678e-07
             0.050181191                  -2.7894848e-07
             0.050764691                   -2.854382e-07
             0.051348194                  -2.9124101e-07
             0.051931698                  -2.9794435e-07
             0.052515198                  -3.0703998e-07
             0.053098701                  -3.1970873e-07
             0.053682204                  -3.3665737e-07
             0.054265704                  -3.5802771e-07
             0.054849207                  -3.8338885e-07
             0.055432711                   -4.118115e-07
             0.056016214                  -4.4201306e-07
             0.056599714                  -4.7254761e-07
             0.057183217                  -5.0201288e-07
             0.057766721                  -5.2925094e-07
              0.05835022                  -5.5351791e-07
             0.058933724                  -5.7459681e-07
             0.059517227                  -5.9283457e-07
             0.060100727                  -6.0909889e-07
              0.06068423                  -6.2466103e-07
             0.061267734                  -6.4102096e-07
             0.061851233                  -6.5969869e-07
             0.062434737                  -6.8202093e-07
              0.06301824                   -7.089381e-07
              0.06360174                  -7.4089871e-07
             0.064185247                  -7.7779475e-07
             0.064768746                  -8.1898224e-07
             0.065352246                  -8.6337423e-07
             0.065935753                  -9.0959298e-07
             0.066519253                  -9.5615496e-07
             0.067102753                  -1.0016614e-06
              0.06768626                  -1.0449702e-06
             0.068269759                  -1.0853307e-06
             0.068853259                  -1.1224662e-06
             0.069436766                   -1.156593e-06
             0.070020266                  -1.1883733e-06
             0.070603766                  -1.2188104e-06
             0.071187273                  -1.2491039e-06
             0.071770772                  -1.2804763e-06
             0.072354272                  -1.3139985e-06
             0.072937779                  -1.3504384e-06
             0.073521279                  -1.3901636e-06
             0.074104778                  -1.4331023e-06
             0.074688286                   -1.478771e-06
             0.075271785                  -1.5263569e-06
             0.075855285                  -1.5748465e-06
             0.076438792                  -1.6231786e-06
             0.077022292                  -1.6703934e-06
             0.077605791                  -1.7157556e-06
             0.078189299                  -1.7588347e-06
             0.078772798                  -1.7995396e-06
             0.079356298                  -1.8380987e-06
             0.079939805                  -1.8749936e-06
             0.080523305                  -1.9108575e-06
             0.081106804                   -1.946353e-06
             0.081690311                  -1.9820536e-06
             0.082273811                  -2.0183354e-06
