        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -1.8862288e-11
           0.00077913533                   1.8307915e-10
            0.0015582707                   2.2285758e-09
            0.0023374059                   8.5877137e-09
            0.0031165413                   2.0115642e-08
            0.0038956765                   3.4872109e-08
            0.0046748118                   4.8734016e-08
             0.005453947                   5.7299022e-08
            0.0062330826                   5.7924552e-08
            0.0070122178                   5.0695569e-08
            0.0077913529                   3.8015834e-08
            0.0085704885                   2.3596147e-08
            0.0093496237                   1.1323802e-08
             0.010128759                    4.247048e-09
             0.010907894                   3.9321231e-09
             0.011687029                   1.0222449e-08
             0.012466165                   2.1292088e-08
               0.0132453                   3.3997342e-08
             0.014024436                   4.4655017e-08
             0.014803571                   5.0034323e-08
             0.015582706                   4.8272618e-08
             0.016361842                   3.9474521e-08
             0.017140977                   2.5740761e-08
             0.017920112                   1.0578807e-08
             0.018699247                  -2.1128357e-09
             0.019478383                  -9.1293773e-09
             0.020257518                  -8.8344079e-09
             0.021036653                  -1.5728088e-09
             0.021815788                   1.0486263e-08
             0.022594923                   2.3953866e-08
             0.023374058                   3.5083996e-08
             0.024153193                   4.0683378e-08
              0.02493233                   3.8869111e-08
             0.025711466                   2.9514254e-08
             0.026490601                   1.4326611e-08
             0.027269736                  -3.4772629e-09
             0.028048871                  -1.9915209e-08
             0.028828006                  -3.1255794e-08
             0.029607141                  -3.5044565e-08
             0.030386277                  -3.0826225e-08
             0.031165412                  -2.0308201e-08
             0.031944547                  -6.8973187e-09
             0.032723684                   5.2125202e-09
             0.033502817                   1.2105685e-08
             0.034281954                   1.1106636e-08
             0.035061087                   1.4163168e-09
             0.035840224                   -1.570883e-08
             0.036619358                  -3.7261366e-08
             0.037398495                  -5.9222629e-08
             0.038177628                  -7.7584986e-08
             0.038956765                  -8.9386127e-08
             0.039735902                  -9.3462276e-08
             0.040515035                  -9.0747989e-08
             0.041294172                  -8.4053532e-08
             0.042073306                  -7.7361726e-08
             0.042852443                  -7.4837672e-08
             0.043631576                  -7.9811961e-08
             0.044410713                  -9.3981612e-08
             0.045189846                  -1.1702439e-07
             0.045968983                   -1.467306e-07
             0.046748117                  -1.7958922e-07
             0.047527254                  -2.1164968e-07
             0.048306387                  -2.3947118e-07
             0.049085524                  -2.6095012e-07
             0.049864661                  -2.7582172e-07
             0.050643794                  -2.8570659e-07
             0.051422931                  -2.9368044e-07
             0.052202065                  -3.0345768e-07
             0.052981202                  -3.1840824e-07
             0.053760335                  -3.4070274e-07
             0.054539472                  -3.7080048e-07
             0.055318605                  -4.0738448e-07
             0.056097742                  -4.4774575e-07
             0.056876875                  -4.8850501e-07
             0.057656012                  -5.2647715e-07
             0.058435146                  -5.5947709e-07
             0.059214283                  -5.8689278e-07
              0.05999342                  -6.0986827e-07
             0.060772553                  -6.3104125e-07
              0.06155169                  -6.5390657e-07
             0.062330823                  -6.8195936e-07
             0.063109957                  -7.1783592e-07
             0.063889094                  -7.6267975e-07
             0.064668231                  -8.1589269e-07
             0.065447368                  -8.7530441e-07
             0.066226497                  -9.3770865e-07
             0.067005634                  -9.9962574e-07
             0.067784771                  -1.0580866e-06
             0.068563908                  -1.1112625e-06
             0.069343045                  -1.1588193e-06
             0.070122175                   -1.201922e-06
             0.070901312                  -1.2428908e-06
             0.071680449                  -1.2845954e-06
             0.072459586                  -1.3297334e-06
             0.073238716                  -1.3801595e-06
             0.074017853                  -1.4364524e-06
              0.07479699                  -1.4978349e-06
             0.075576127                   -1.562433e-06
             0.076355256                  -1.6277951e-06
             0.077134393                  -1.6915312e-06
              0.07791353                  -1.7518768e-06
             0.078692667                  -1.8080414e-06
             0.079471804                  -1.8602819e-06
             0.080250934                  -1.9097013e-06
             0.081030071                  -1.9578297e-06
             0.081809208                  -2.0061136e-06
             0.082588345                  -2.0554464e-06
             0.083367474                  -2.1058465e-06
             0.084146611                  -2.1563662e-06
             0.084925748                  -2.2052775e-06
             0.085704885                  -2.2504748e-06
             0.086484015                  -2.2899624e-06
             0.087263152                  -2.3223004e-06
             0.088042289                  -2.3468833e-06
             0.088821426                   -2.363967e-06
             0.089600563                  -2.3744672e-06
             0.090379693                  -2.3795922e-06
              0.09115883                  -2.3804037e-06
             0.091937967                  -2.3774078e-06
             0.092717104                  -2.3702798e-06
             0.093496233                  -2.3577866e-06
              0.09427537                  -2.3379152e-06
             0.095054507                  -2.3081989e-06
             0.095833644                  -2.2661504e-06
             0.096612774                  -2.2096858e-06
             0.097391911                  -2.1374515e-06
             0.098171048                  -2.0489551e-06
             0.098950185                  -1.9444733e-06
             0.099729322                  -1.8247604e-06
              0.10050845                  -1.6906522e-06
              0.10128759                  -1.5426581e-06
              0.10206673                  -1.3806504e-06
              0.10284586                  -1.2037078e-06
              0.10362499                  -1.0101471e-06
              0.10440413                  -7.9772349e-07
              0.10518327                  -5.6393446e-07
               0.1059624                  -3.0637057e-07
              0.10674153                  -2.3018941e-08
              0.10752067                   2.8753459e-07
              0.10829981                   6.2606426e-07
              0.10907894                      9.9283e-07
              0.10985808                   1.3878175e-06
              0.11063721                   1.8110329e-06
              0.11141635                   2.2627573e-06
              0.11219548                   2.7437104e-06
              0.11297462                   3.2550802e-06
              0.11375375                   3.7984298e-06
              0.11453289                    4.375529e-06
              0.11531202                   4.9881533e-06
              0.11609116                   5.6379058e-06
              0.11687029                   6.3261014e-06
              0.11764943                   7.0537476e-06
              0.11842857                   7.8215971e-06
               0.1192077                   8.6302534e-06
              0.11998684                   9.4803108e-06
              0.12076597                   1.0372452e-05
              0.12154511                   1.1307479e-05
              0.12232424                   1.2286268e-05
              0.12310338                   1.3309676e-05
              0.12388251                   1.4378414e-05
