x,y,z,azimuth,elevation,dis,correction_param
0.0501010101010101,0.0501010101010101,0.2,45,11.2841415736751,0.20442088737201,3.37526551340155
0.0517171717171717,0.0501010101010101,0.2,48.1773834643224,11.2970261444819,0.204190763681063,3.05826005969745
0.0533333333333333,0.0501010101010101,0.2,51.4987637153745,11.3092355259201,0.203973186247828,2.82929007387051
0.054949494949495,0.0501010101010101,0.2,54.9322103375114,11.3207629497796,0.203768195261835,2.64087706622258
0.0565656565656566,0.0501010101010101,0.2,58.4368859124853,11.3316019897504,0.203575828744914,2.44208959875191
0.0581818181818182,0.0501010101010101,0.2,61.9644542450457,11.3417465711486,0.203396122516707,2.29628963970941
0.0597979797979798,0.0501010101010101,0.2,65.4615186123523,11.3511909801851,0.203229110161962,2.15820253767706
0.0614141414141414,0.0501010101010101,0.2,68.8727979733655,11.3599298727499,0.203074822999685,2.02836764279349
0.063030303030303,0.0501010101010101,0.2,72.1445401808468,11.3679582826871,0.202933290054203,1.9294298946381
0.0646464646464646,0.0501010101010101,0.2,75.2275997733419,11.3752716295347,0.202804538028201,1.83792083173194
0.0662626262626263,0.0501010101010101,0.2,78.0797066452706,11.3818657257056,0.202688591277803,1.74892603060296
0.0678787878787879,0.0501010101010101,0.2,80.666676248111,11.3877367830903,0.20258547178973,1.66613022154411
0.0694949494949495,0.0501010101010101,0.2,82.9625681752453,11.3928814190576,0.202495199160606,1.61033607922526
0.0711111111111111,0.0501010101010101,0.2,84.9489989627288,11.3972966618377,0.202417790578444,1.56057930684466
0.0727272727272727,0.0501010101010101,0.2,86.6139124538873,11.40097995527,0.202353260806352,1.51295944144282
0.0743434343434344,0.0501010101010101,0.2,87.9501130624484,11.4039291629001,0.202301622168501,1.49062380224679
0.075959595959596,0.0501010101010101,0.2,88.9538091355095,11.4061425714143,0.202262884538389,1.46154454996517
0.0775757575757576,0.0501010101010101,0.2,89.6233348524812,11.4076188934004,0.202237055329411,1.44352768968857
0.0791919191919192,0.0501010101010101,0.2,89.958147721459,11.4083572694255,0.202224139487778,1.44404157690271
0.0808080808080808,0.0501010101010101,0.2,89.958147721459,11.4083572694255,0.202224139487778,1.44404157690271
0.0824242424242424,0.0501010101010101,0.2,89.6233348524812,11.4076188934004,0.202237055329411,1.44352768968857
0.084040404040404,0.0501010101010101,0.2,88.9538091355095,11.4061425714143,0.202262884538389,1.46154454996517
0.0856565656565657,0.0501010101010101,0.2,87.9501130624483,11.4039291629001,0.202301622168501,1.49062380224679
0.0872727272727273,0.0501010101010101,0.2,86.6139124538873,11.40097995527,0.202353260806352,1.51295944144282
0.0888888888888889,0.0501010101010101,0.2,84.9489989627288,11.3972966618377,0.202417790578444,1.56057930684466
0.0905050505050505,0.0501010101010101,0.2,82.9625681752453,11.3928814190576,0.202495199160606,1.61033607922526
0.0921212121212121,0.0501010101010101,0.2,80.666676248111,11.3877367830903,0.20258547178973,1.66613022154411
0.0937373737373737,0.0501010101010101,0.2,78.0797066452706,11.3818657257056,0.202688591277803,1.74892603060296
0.0953535353535353,0.0501010101010101,0.2,75.227599773342,11.3752716295347,0.202804538028201,1.83792083173194
0.096969696969697,0.0501010101010101,0.2,72.1445401808468,11.3679582826871,0.202933290054203,1.9294298946381
0.0985858585858586,0.0501010101010101,0.2,68.8727979733655,11.3599298727499,0.203074822999685,2.02836764279349
0.0501010101010101,0.0517171717171717,0.2,41.8226165356776,11.2970261444819,0.204190763681063,3.20579332483623
0.0517171717171717,0.0517171717171717,0.2,45,11.3099549583626,0.203960380347145,2.92218837062232
0.0533333333333333,0.0517171717171717,0.2,48.363557700494,11.3222063579513,0.20374255688684,2.72380931515045
0.054949494949495,0.0517171717171717,0.2,51.8861777320858,11.3337735366622,0.203537333624476,2.53907139201652
0.0565656565656566,0.0517171717171717,0.2,55.5292094879259,11.3446500316176,0.203344748709857,2.34699280167473
0.0581818181818182,0.0517171717171717,0.2,59.2430367693885,11.3548297334498,0.20316483808358,2.21020964407884
0.0597979797979798,0.0517171717171717,0.2,62.969139740157,11.3643068956432,0.202997635444157,2.07173560706416
0.0614141414141414,0.0517171717171717,0.2,66.6435392082109,11.3730761433893,0.202843172216985,1.95754733601634
0.063030303030303,0.0517171717171717,0.2,70.2011236454751,11.3811324819269,0.20270147752525,1.8564258230716
0.0646464646464646,0.0517171717171717,0.2,73.5800774613822,11.3884713043442,0.202572578162811,1.76044643019415
0.0662626262626263,0.0517171717171717,0.2,76.725594226716,11.3950883988183,0.20245649856914,1.67939217088666
0.0678787878787879,0.0517171717171717,0.2,79.5922886875099,11.40097995527,0.202353260806352,1.60666164284089
0.0694949494949495,0.0517171717171717,0.2,82.1451039854034,11.4061425714143,0.202262884538389,1.53921034771459
0.0711111111111111,0.0517171717171717,0.2,84.3588787137265,11.4105732581865,0.202185387012402,1.49299437851679
0.0727272727272727,0.0517171717171717,0.2,86.2169696899327,11.4142694445289,0.202120783042367,1.45515397511193
0.0743434343434344,0.0517171717171717,0.2,87.7093899573615,11.417228981521,0.202069084994967,1.43197165022217
0.075959595959596,0.0517171717171717,0.2,88.8308606720926,11.4194501458425,0.20203030277779,1.39951269469997
0.0775757575757576,0.0517171717171717,0.2,89.5790589894957,11.4209316425561,0.202004443829851,1.38925294308185
0.0791919191919192,0.0517171717171717,0.2,89.9532279454808,11.421672607203,0.201991513114458,1.37429797001339
0.0808080808080808,0.0517171717171717,0.2,89.9532279454808,11.421672607203,0.201991513114458,1.37429797001339
0.0824242424242424,0.0517171717171717,0.2,89.5790589894957,11.4209316425561,0.202004443829851,1.38925294308185
